budget_million,worldwide_gross_million,genre,director_experience,runtime_min,release_season,sequel,success
100,202,4,3,115,2,1,0
100,337,3,5,157,1,1,1
295,384,0,7,154,0,1,0
250,761,0,6,119,0,1,1
67,261,1,3,99,0,1,1
100,41,4,4,132,0,0,0
10,73,1,2,101,0,0,1
85,547,2,3,94,2,1,1
140,67,5,5,130,3,0,0
180,73,2,4,102,1,0,0
150,117,4,3,123,0,0,0
195,439,0,3,127,0,1,0
20,297,1,2,109,1,0,1
2,52,1,2,125,1,1,1
110,26,0,2,127,3,0,0
50,8,0,2,111,0,0,0
104,130,0,2,127,0,0,0
200,156,4,9,206,1,0,1
190,206,4,5,138,1,1,0
38,269,1,2,110,1,1,0
100,26,0,3,103,1,1,0
200,1337,0,6,127,0,1,1
250,859,0,6,161,1,1,1
200,1699,2,4,100,0,1,1
33,6,3,6,134,1,0,0
100,453,4,7,104,1,1,1
90,14,3,3,138,1,0,0
100,690,2,4,140,0,1,1
340,704,0,4,141,2,1,1
200,271,0,3,144,0,0,0
135,571,0,4,115,2,1,1
220,206,0,3,105,1,1,0
20,66,1,4,111,1,1,0
155,370,0,3,122,0,1,1
200,96,0,5,139,3,0,0
145,1441,4,5,114,0,0,1
65,351,5,3,119,0,1,1
35,15,1,2,94,2,0,0
35,91,1,3,95,3,0,1
90,204,2,3,105,0,0,0
177,1493,0,8,131,0,1,1
75,167,0,3,104,2,0,0
115,33,0,4,115,0,0,0
20,45,6,1,102,0,0,0
185,770,0,5,176,2,0,1
200,226,2,4,100,0,0,0
90,70,3,4,137,2,0,1
125,134,0,3,130,2,1,0
350,2320,5,9,192,3,1,1
100,1362,2,4,92,2,0,1
78,15,3,5,189,3,0,0
8,5,1,1,84,3,0,0
290,567,0,7,163,0,1,1
80,100,0,2,116,3,0,0
90,239,0,5,126,0,0,1
68,171,1,3,130,0,0,1
110,405,2,3,122,2,1,1
120,11,3,8,138,1,0,0
205,297,0,4,124,3,1,0
150,1126,2,3,100,1,1,1
80,939,2,5,87,0,1,1
100,952,3,8,180,0,0,1
100,440,0,5,169,2,1,1
168,174,0,7,148,2,1,0
